"Plot","focal","Species","status","heterospecific_density","conspecific_density","quantile","SES_range_overlap","initial_size","first_trait_axis","second_trait_axis"
"0_0",23,"BETALL",1,-2.2231888483389,1.82976678716325,0.470703977866998,64.8272866090856,0.15229087691832,-0.102633610648225,0.562809910818341
"0_0",24,"BETALL",1,-2.17343302947076,2.15775328650728,0.470703977866998,66.0524735700154,-0.170180816400275,-0.102633610648225,0.562809910818341
"0_0",25,"BETALL",1,-1.91733162484288,2.55243887474131,0.470703977866998,66.4416014268272,0.145535436961671,-0.102633610648225,0.562809910818341
"0_0",26,"BETALL",1,-1.90333969390497,3.03110519044523,0.470703977866998,64.8367219180601,-0.349336258862079,-0.102633610648225,0.562809910818341
"0_0",27,"BETALL",1,-0.167142962022413,0.323144849793627,0.470703977866998,87.3746699945255,0.69392416230331,-0.102633610648225,0.562809910818341
"0_0",28,"ACESUG",1,2.35179129394361,-0.55861123764342,0.641868949316575,103.519731814441,-0.00288182314498808,0.84580763438271,0.342546589300262
"0_0",38,"ACESUG",1,-1.66063997902745,0.30781235264568,0.641868949316575,34.8771193049974,0.577304928418505,0.84580763438271,0.342546589300262
"0_1",211,"ACESUG",1,1.66031925133922,0.377025448120247,0.641868949316575,12.0290120855666,-1.0877764755843,0.84580763438271,0.342546589300262
"0_1",212,"BETALL",1,-0.0388229917663051,-0.362255431142485,0.470703977866998,16.5433107167003,0.190749685272839,-0.102633610648225,0.562809910818341
"0_1",213,"ACESUG",1,1.04717254813772,0.2512469697589,0.641868949316575,10.1164264224548,-0.668779361257558,0.84580763438271,0.342546589300262
"0_1",214,"ACESUG",1,0.366392726718023,0.0671660741419229,0.641868949316575,6.86614762782115,-0.840405628934764,0.84580763438271,0.342546589300262
"0_1",215,"ACESUG",1,2.44663029929509,1.01567503391865,0.641868949316575,12.8927070665104,-0.924712735394758,0.84580763438271,0.342546589300262
"0_1",216,"ACESUG",1,0.650530509201538,0.578591856532964,0.641868949316575,8.91725733121016,0.48446591955872,0.84580763438271,0.342546589300262
"0_1",217,"ACESUG",1,1.59925807278663,1.27727737221008,0.641868949316575,10.331154716542,0.454030035961172,0.84580763438271,0.342546589300262
"0_1",219,"BETALL",1,-0.110210453768271,-0.505011441607453,0.470703977866998,15.7542268959224,0.39076190456363,-0.102633610648225,0.562809910818341
"0_1",222,"ACESUG",1,-0.432988208674647,0.384257609778762,0.641868949316575,5.40633129983563,0.479362421098689,0.84580763438271,0.342546589300262
"0_1",224,"ACESUG",1,-1.27742156474888,0.939239566368636,0.641868949316575,2.34560825847318,1.0948092310038,0.84580763438271,0.342546589300262
"0_1",225,"ACESUG",1,-1.58816111694801,0.747104020034821,0.641868949316575,1.87759573883834,1.19860169763859,0.84580763438271,0.342546589300262
"0_1",228,"ACESUG",1,-1.22135608663395,0.804202183481906,0.641868949316575,5.94054025141669,0.402583284963177,0.84580763438271,0.342546589300262
"0_2",420,"ACESUG",1,-0.0225694098201598,1.71513278898205,0.641868949316575,3.62120242036623,0.0543788977184274,0.84580763438271,0.342546589300262
"0_2",421,"ACESUG",1,0.110162914048296,1.29000066187691,0.641868949316575,3.5705872477592,0.540555386209764,0.84580763438271,0.342546589300262
"0_2",422,"FRAAME",1,0.298868154984129,0.671998133390063,1.01845960037142,2.0311201665616,1.4848951084623,1.15135765188855,0.986380914324728
"0_2",423,"OSTVIR",1,1.25772906696926,-1.86197246904755,1.02860673337211,3.38624678318908,-0.857753618024965,1.87914808869575,0.189957649334784
"0_2",424,"TILAME",1,-0.0760788963185001,0.391673787021154,0.448515641513963,6.03433814191972,0.205311277316843,2.15673201838104,2.53068159644322
"0_2",425,"OSTVIR",1,0.418187520514027,-1.55684883176855,1.02860673337211,1.52294610468943,0.0783397411453697,1.87914808869575,0.189957649334784
"0_2",426,"OSTVIR",1,0.897768591630462,-1.25493587893928,1.02860673337211,1.29185056837335,-0.152183917466463,1.87914808869575,0.189957649334784
"0_2",428,"ACESUG",1,-0.164406063290503,0.414941600232443,0.641868949316575,5.27987675972439,1.12952969970754,0.84580763438271,0.342546589300262
"0_2",429,"FRAAME",1,-0.266793266301469,1.00218714607609,1.01845960037142,3.303728556492,1.56681223093018,1.15135765188855,0.986380914324728
"0_2",430,"FRAAME",1,-0.342410497072447,1.23348455669837,1.01845960037142,2.86599802952407,1.2460329802541,1.15135765188855,0.986380914324728
"0_2",432,"OSTVIR",1,0.503558871970959,-2.00780870587767,1.02860673337211,1.82495261472925,-0.857753618024965,1.87914808869575,0.189957649334784
"0_2",433,"ACESUG",1,-1.35695489003114,0.0186180528328388,0.641868949316575,1.49161137183106,1.37090368828319,0.84580763438271,0.342546589300262
"0_2",434,"OSTVIR",1,0.4813187881771,-2.14487446448238,1.02860673337211,1.48448473833927,-0.824963795201974,1.87914808869575,0.189957649334784
"0_3",656,"ACESUG",1,-0.503493519258886,0.811946139051742,0.641868949316575,4.12861249931298,0.454030035961172,0.84580763438271,0.342546589300262
"0_3",657,"ACESUG",1,-0.729650193176223,1.27754517274713,0.641868949316575,4.01832956529344,-2.0443784332607,0.84580763438271,0.342546589300262
"0_3",658,"OSTVIR",1,-0.150180306829665,-1.74335681907531,1.02860673337211,3.48796508707264,-0.717991675649806,1.87914808869575,0.189957649334784
"0_3",660,"FRAAME",1,-0.189054694616127,-0.0219547087406469,1.01845960037142,2.05160387004374,-1.32010827246177,1.15135765188855,0.986380914324728
"0_3",661,"FRAAME",1,0.110647163154474,0.0465276213088185,1.01845960037142,2.41978517002099,-1.16928538272718,1.15135765188855,0.986380914324728
"0_3",662,"FRAAME",1,1.02885902612425,0.0377772585898275,1.01845960037142,3.05969809486689,-1.42633048571707,1.15135765188855,0.986380914324728
"0_3",664,"FRAAME",1,0.447311170641967,-0.216931219304193,1.01845960037142,2.28260541837722,-1.3596391112184,1.15135765188855,0.986380914324728
"0_3",665,"OSTVIR",1,0.927865142570278,-2.45205410026588,1.02860673337211,4.15250127517537,-0.341940452747935,1.87914808869575,0.189957649334784
"0_3",666,"FRAAME",1,-0.101926772807562,-0.287805144268291,1.01845960037142,2.12797537316445,-1.47944031103102,1.15135765188855,0.986380914324728
"0_3",667,"FRAAME",1,0.485038684987933,-0.235754559625243,1.01845960037142,2.65942683079921,-1.43498854846019,1.15135765188855,0.986380914324728
"0_3",668,"ACESUG",1,-1.29991939899095,1.12991443146101,0.641868949316575,3.27822992700515,-0.579679366471511,0.84580763438271,0.342546589300262
"0_3",669,"ACESUG",1,-1.26859542270511,0.524159343520854,0.641868949316575,3.27252416789243,0.691645619883916,0.84580763438271,0.342546589300262
"0_3",670,"OSTVIR",1,0.210633791068921,-1.70358389381082,1.02860673337211,3.00241731724039,-0.866121867695482,1.87914808869575,0.189957649334784
"0_3",671,"OSTVIR",1,-0.0703837594242033,-1.79424112443528,1.02860673337211,2.22627957377525,-0.841224316073755,1.87914808869575,0.189957649334784
"0_3",672,"ACESUG",1,-0.320197086817688,0.766059886796504,0.641868949316575,4.13704601105129,-0.259736431801509,0.84580763438271,0.342546589300262
